Date,GMI_FCI
1997-12-26,-1.010124897960437
1998-01-02,-1.1568376017662318
1998-01-09,-2.067851899459846
1998-01-16,-1.995486076021397
1998-01-23,-1.267052083875531
1998-01-30,-0.999775701092914
1998-02-06,-1.2654744862338336
1998-02-13,-1.177929717899963
1998-02-20,-1.117953661581441
1998-02-27,-0.6584766446235245
1998-03-06,-0.3941119301442922
1998-03-13,-0.8361289948475807
1998-03-20,-0.5931487316715889
1998-03-27,-0.08152779423261437
1998-04-03,-0.44766674344408786
1998-04-10,-0.7008741631538319
1998-04-17,-0.47666210887822597
1998-04-24,-0.25590789608901837
1998-05-01,-0.6221515818417894
1998-05-08,-1.1528592114706657
1998-05-15,-1.182114070152564
1998-05-22,-1.432888761289614
1998-05-29,-1.4844915124882
1998-06-05,-2.1418577478490106
1998-06-12,-2.143613565984619
1998-06-19,-2.3732578455282898
1998-06-26,-2.2705567911113667
1998-07-03,-2.462648435683822
1998-07-10,-2.352949441644654
1998-07-17,-1.8926450115596258
1998-07-24,-1.7537537891558634
1998-07-31,-1.6905687610645763
1998-08-07,-2.2926591053394008
1998-08-14,-2.9256899097664832
1998-08-21,-3.1759104438547707
1998-08-28,-4.107606222671896
1998-09-04,-4.718130866610098
1998-09-11,-4.1333010793925995
1998-09-18,-3.747236663584205
1998-09-25,-3.3136467544524253
1998-10-02,-3.1317235958455525
1998-10-09,-3.148022261667504
1998-10-16,-3.0364979073478406
1998-10-23,-2.7733430817759013
1998-10-30,-2.4316645821219196
1998-11-06,-2.0980049803824965
1998-11-13,-1.703873323801882
1998-11-20,-1.386445909442177
1998-11-27,-1.2048136706619919
1998-12-04,-1.2726046409428309
1998-12-11,-1.2467205857331929
1998-12-18,-1.2580242493908653
1998-12-25,-1.1041354666221124
1999-01-01,-1.0908529477835769
1999-01-08,-1.0622560561106185
1999-01-15,-1.0252106205351477
1999-01-22,-0.9979143560053433
1999-01-29,-0.9460879450258631
1999-02-05,-0.8640464110177769
1999-02-12,-0.7325266679719964
1999-02-19,-0.6344309350337874
1999-02-26,-0.5957430353261022
1999-03-05,-0.5551487009413321
1999-03-12,-0.5912057168420994
1999-03-19,-0.5429072065490148
1999-03-26,-0.4553037553482528
1999-04-02,-0.3986138677714528
1999-04-09,-0.3752785615349049
1999-04-16,-0.24831665876551806
1999-04-23,-0.15443344646844714
1999-04-30,-0.06796921894736781
1999-05-07,0.19512235774662187
1999-05-14,0.20808172761261234
1999-05-21,0.24659822451180358
1999-05-28,0.19974692095723556
1999-06-04,0.3260876204472117
1999-06-11,0.3972440661084728
1999-06-18,0.41326812130183116
1999-06-25,0.5332922984420903
1999-07-02,0.4234655778919669
1999-07-09,0.4615341246391035
1999-07-16,0.4596307874638969
1999-07-23,0.5559208571156097
1999-07-30,0.6210467844170552
1999-08-06,0.8733171492734787
1999-08-13,0.9850244229720861
1999-08-20,0.822343952898827
1999-08-27,0.6374981345807212
1999-09-03,0.7014899586525376
1999-09-10,0.5812693315446332
1999-09-17,0.45495413146062835
1999-09-24,0.23376381271765947
1999-10-01,0.21137190805450956
1999-10-08,0.3488458073313736
1999-10-15,0.4845888657871921
1999-10-22,0.4668391860844518
1999-10-29,0.2905984660955097
1999-11-05,-0.13739288416183557
1999-11-12,-0.1969623978070395
1999-11-19,-0.09411854647117343
1999-11-26,0.2398339215969798
1999-12-03,0.5617712660778457
1999-12-10,0.553097591495501
1999-12-17,0.9585377533985564
1999-12-24,1.2678316331633963
1999-12-31,1.1178031923486915
2000-01-07,0.7655496573895451
2000-01-14,0.8056386148528463
2000-01-21,0.8715007651183397
2000-01-28,0.6049274957408128
2000-02-04,0.1718954562455633
2000-02-11,0.592836598523532
2000-02-18,0.27126196413661613
2000-02-25,-0.4937248562140794
2000-03-03,-1.0431579836174738
2000-03-10,-1.4606526230084562
2000-03-17,-2.4448670627745495
2000-03-24,-3.0459107276937893
2000-03-31,-3.49445933434123
2000-04-07,-3.821049773905338
2000-04-14,-3.3343326627509517
2000-04-21,-2.8321131417313334
2000-04-28,-2.392213552707611
2000-05-05,-2.2966831785007056
2000-05-12,-2.1276006883027425
2000-05-19,-2.1036803994391513
2000-05-26,-2.4944989642002557
2000-06-02,-2.592940289693086
2000-06-09,-2.3914777235515667
2000-06-16,-2.1836226125146023
2000-06-23,-1.9216103743160842
2000-06-30,-1.811663843884433
2000-07-07,-1.9343675223391414
2000-07-14,-1.7184415955935994
2000-07-21,-1.4380316580416475
2000-07-28,-1.5066088254736392
2000-08-04,-1.8297678968876538
2000-08-11,-1.7718321818808782
2000-08-18,-1.721786124527639
2000-08-25,-1.725606474195953
2000-09-01,-1.5692420182544795
2000-09-08,-1.5115571406284485
2000-09-15,-1.3511616193678926
2000-09-22,-1.4663561484279377
2000-09-29,-1.6939914252965733
2000-10-06,-1.8594899394164472
2000-10-13,-2.1768134845222717
2000-10-20,-2.550551080585221
2000-10-27,-2.4887077208352744
2000-11-03,-2.451742594546641
2000-11-10,-2.310209769511931
2000-11-17,-2.317085921518313
2000-11-24,-2.5016949811421947
2000-12-01,-2.7140331869780128
2000-12-08,-2.7944834885442447
2000-12-15,-2.4451418613129157
2000-12-22,-2.3169638838573436
2000-12-29,-2.2165317086331187
2001-01-05,-2.1949497909085984
2001-01-12,-1.7466311503146699
2001-01-19,-1.3645531350476792
2001-01-26,-1.1451278441331822
2001-02-02,-0.960898643129746
2001-02-09,-0.7208695846335309
2001-02-16,-0.5830992023397015
2001-02-23,-0.6039878778199793
2001-03-02,-0.6715828030399966
2001-03-09,-0.5620713835853329
2001-03-16,-0.7132249498273838
2001-03-23,-1.0510878873899039
2001-03-30,-0.9435732904563084
2001-04-06,-1.215670409290338
2001-04-13,-1.2489731175629224
2001-04-20,-1.1275078260695475
2001-04-27,-1.127923932087932
2001-05-04,-0.5189246901350624
2001-05-11,-0.38707994411060176
2001-05-18,-0.22394248566001135
2001-05-25,-0.12671846874914583
2001-06-01,-0.11552821089533169
2001-06-08,-0.2152400305984246
2001-06-15,-0.3736277859774105
2001-06-22,-0.8137476582739913
2001-06-29,-0.7702483622849288
2001-07-06,-0.5146913611047118
2001-07-13,-0.5894276700770416
2001-07-20,-0.7362615913393953
2001-07-27,-0.6489534929254085
2001-08-03,-0.3597601119435884
2001-08-10,-0.0955341855320825
2001-08-17,-0.2034781786627561
2001-08-24,-0.2770688644002325
2001-08-31,-0.3178193725478488
2001-09-07,-0.07212253796147512
2001-09-14,-1.3209913709732375
2001-09-21,-2.653197121372677
2001-09-28,-3.061183916432686
2001-10-05,-3.005173570650644
2001-10-12,-2.478920972445807
2001-10-19,-1.925555357543039
2001-10-26,-1.8041758608889558
2001-11-02,-1.70863933117018
2001-11-09,-1.4071760917893248
2001-11-16,-0.662051740006798
2001-11-23,0.2119357259697735
2001-11-30,0.2803401980559637
2001-12-07,0.25083299566519546
2001-12-14,0.12988839997255527
2001-12-21,0.11268547797640137
2001-12-28,0.11519512229964528
2002-01-04,0.39319537626829465
2002-01-11,0.3975384624652465
2002-01-18,0.161437987915843
2002-01-25,0.19481814074672493
2002-02-01,0.417773613906396
2002-02-08,0.5354660643052649
2002-02-15,0.4808505350427475
2002-02-22,0.3106900510091926
2002-03-01,0.28673013169221245
2002-03-08,1.118778873223724
2002-03-15,1.681390541871661
2002-03-22,1.8156787129808387
2002-03-29,1.7618439278275166
2002-04-05,1.67482044172919
2002-04-12,1.490299119111121
2002-04-19,1.4451275896857119
2002-04-26,1.3556087950586209
2002-05-03,1.6140892169516108
2002-05-10,1.568516641880717
2002-05-17,1.497598391132322
2002-05-24,1.3077529649458752
2002-05-31,1.2090485467614662
2002-06-07,0.9884150113873502
2002-06-14,0.5768978353983308
2002-06-21,0.24633948008222215
2002-06-28,-0.7165725256322134
2002-07-05,-0.8310328881860003
2002-07-12,-1.0504392488277552
2002-07-19,-1.1525519117798666
2002-07-26,-1.7744671915793389
2002-08-02,-1.6359063810604106
2002-08-09,-1.632282094254176
2002-08-16,-1.7295186720372244
2002-08-23,-1.4104144504121676
2002-08-30,-1.0663352436989328
2002-09-06,-1.2236013484344366
2002-09-13,-1.142730725092778
2002-09-20,-1.2050492211026749
2002-09-27,-1.658736065387716
2002-10-04,-1.8082174833022557
2002-10-11,-2.2917397788010745
2002-10-18,-1.9940483767591664
2002-10-25,-1.7397150206758245
2002-11-01,-1.7184016121450274
2002-11-08,-1.3450443763466067
2002-11-15,-1.192166307470925
2002-11-22,-0.6332710484058889
2002-11-29,-0.31689289762517764
2002-12-06,-0.14665206909594614
2002-12-13,-0.3342595447022676
2002-12-20,-0.23719822282906322
2002-12-27,-0.29719785003317517
2003-01-03,-0.10307668167778532
2003-01-10,0.44915818376691297
2003-01-17,0.5743090713312747
2003-01-24,0.4251573727487279
2003-01-31,0.34802395511345696
2003-02-07,0.3302427813541266
2003-02-14,0.1611532924760011
2003-02-21,0.15519478892134797
2003-02-28,0.24496238636196593
2003-03-07,0.3403359013378904
2003-03-14,0.3982672842902231
2003-03-21,0.7588420005329326
2003-03-28,0.8598963485699233
2003-04-04,1.162745859320819
2003-04-11,1.360376463936802
2003-04-18,1.503780940841914
2003-04-25,1.7218673679589176
2003-05-02,1.9604234641975107
2003-05-09,1.94462064893902
2003-05-16,1.7966757852697839
2003-05-23,1.597438777923703
2003-05-30,1.5229666834471265
2003-06-06,1.6551918461557509
2003-06-13,1.7188527785458583
2003-06-20,1.9189559750586471
2003-06-27,1.8092279772342952
2003-07-04,1.7220398365626428
2003-07-11,1.7202687382176851
2003-07-18,1.7730170580297835
2003-07-25,1.751975389337333
2003-08-01,1.6493674624205465
2003-08-08,1.4038278027754434
2003-08-15,1.3061877277719665
2003-08-22,1.4058566190948447
2003-08-29,1.5363654379239176
2003-09-05,1.5678086025507811
2003-09-12,1.4689665616183314
2003-09-19,1.41826255805244
2003-09-26,1.368788021808528
2003-10-03,1.3119534412695601
2003-10-10,1.4502346324941562
2003-10-17,1.6099146886475768
2003-10-24,1.5762734687049456
2003-10-31,1.5489812001337049
2003-11-07,1.6172319529018677
2003-11-14,1.5845854655210274
2003-11-21,1.4463573862643708
2003-11-28,1.5002791300509501
2003-12-05,1.5889005935601042
2003-12-12,1.5855488878907633
2003-12-19,1.5055507809287632
2003-12-26,1.5131270917290451
2004-01-02,1.5213565266233815
2004-01-09,1.6073751060249553
2004-01-16,1.5059430399287037
2004-01-23,1.5348812848901674
2004-01-30,1.4801663944382528
2004-02-06,1.2280022014922887
2004-02-13,1.1387665265733011
2004-02-20,1.1343926852086048
2004-02-27,1.0216292029175396
2004-03-05,1.0520374064175164
2004-03-12,0.9390769364443662
2004-03-19,0.8459949511032862
2004-03-26,0.7783795500368359
2004-04-02,0.9507907481991105
2004-04-09,1.1316769584779003
2004-04-16,1.237417546693104
2004-04-23,1.27443725478694
2004-04-30,1.288285297876463
2004-05-07,1.0993385678744063
2004-05-14,0.6952544656450959
2004-05-21,0.5652915203149584
2004-05-28,0.6961120561667693
2004-06-04,0.7327179953571243
2004-06-11,0.9077118670296803
2004-06-18,0.9255241838132567
2004-06-25,0.972291927377731
2004-07-02,0.86684747272098
2004-07-09,0.7380536193053104
2004-07-16,0.8894902472082433
2004-07-23,1.0208410300053241
2004-07-30,0.9205047278383496
2004-08-06,0.7024839081901292
2004-08-13,0.5285185454671544
2004-08-20,0.547793294021745
2004-08-27,0.8469360876605259
2004-09-03,0.8014276378362634
2004-09-10,1.005728900062689
2004-09-17,1.1414163233658259
2004-09-24,1.2387103633145722
2004-10-01,1.3510819659189104
2004-10-08,1.657018806466486
2004-10-15,1.5443542660977134
2004-10-22,1.3798916814188589
2004-10-29,1.9033333075069152
2004-11-05,2.3869230403323485
2004-11-12,2.9260411398554433
2004-11-19,2.8047801188236403
2004-11-26,2.8180023658854227
2004-12-03,2.7105643685309313
2004-12-10,2.38698305128282
2004-12-17,2.4302275014247243
2004-12-24,2.4008061342896516
2004-12-31,2.3435752382672375
2005-01-07,2.096401311586054
2005-01-14,1.6551511647139647
2005-01-21,1.3878363586793785
2005-01-28,1.3184452811889114
2005-02-04,1.4125149755841133
2005-02-11,1.473339534024219
2005-02-18,1.7130749234628428
2005-02-25,1.8640774666712796
2005-03-04,1.902766694742749
2005-03-11,1.95263429503615
2005-03-18,1.6341598290758077
2005-03-25,1.083123109530657
2005-04-01,0.5257987266927614
2005-04-08,0.2976163678305763
2005-04-15,-0.10457743264289014
2005-04-22,-0.6679879532544063
2005-04-29,-0.8940210504751913
2005-05-06,-1.1074987793860638
2005-05-13,-1.293722720534849
2005-05-20,-1.8277248901073462
2005-05-27,-1.1868073645289103
2005-06-03,-0.926907243566758
2005-06-10,-0.8037821515918933
2005-06-17,-0.48756419036551846
2005-06-24,-0.5882956397567008
2005-07-01,-0.5522468928806314
2005-07-08,-0.31836180437888145
2005-07-15,0.16378761498244415
2005-07-22,0.3896993898926457
2005-07-29,0.5523212380215804
2005-08-05,0.5703832734172799
2005-08-12,0.4259478352162559
2005-08-19,0.303258573699998
2005-08-26,0.30766631402950995
2005-09-02,-0.2144470279184814
2005-09-09,-0.34053553732552855
2005-09-16,-0.18600651104261345
2005-09-23,-0.5687597416240127
2005-09-30,-0.4167400001559496
2005-10-07,-0.11602047797129272
2005-10-14,-0.5609664615001831
2005-10-21,-0.3055734556790808
2005-10-28,-0.17195676359285259
2005-11-04,-0.17479551934218135
2005-11-11,-0.15750397242369932
2005-11-18,-0.5105352948353467
2005-11-25,-0.569260150479717
2005-12-02,-0.3858909346798819
2005-12-09,-0.3752105741119853
2005-12-16,-0.2890704103194135
2005-12-23,-0.3427578654810163
2005-12-30,-0.3942350114098745
2006-01-06,-0.30805717825793627
2006-01-13,0.10209849848698209
2006-01-20,-0.12328411256764893
2006-01-27,0.26936272726800364
2006-02-03,0.5958798491019205
2006-02-10,0.5910651582872652
2006-02-17,0.7644680820356148
2006-02-24,0.9308988354918836
2006-03-03,0.9173956864180458
2006-03-10,1.0869060949207863
2006-03-17,1.1347489548077927
2006-03-24,1.4710299160829747
2006-03-31,1.7307159439855313
2006-04-07,1.7861749692333546
2006-04-14,1.7604704440162775
2006-04-21,1.713960305065684
2006-04-28,1.8445594662432392
2006-05-05,1.8863989628823477
2006-05-12,2.027581079923501
2006-05-19,1.6765933371218107
2006-05-26,1.2382543217991977
2006-06-02,1.220404338097713
2006-06-09,0.8119564842399261
2006-06-16,0.5718924489438487
2006-06-23,0.49254518248629214
2006-06-30,0.2808034427164429
2006-07-07,0.37667417628622585
2006-07-14,0.1738816769386079
2006-07-21,-0.07001754991443711
2006-07-28,0.04448768782230658
2006-08-04,-0.16174729290232545
2006-08-11,-0.047522680427669516
2006-08-18,0.034444351305652245
2006-08-25,-0.1425828822002836
2006-09-01,-0.2105046460586629
2006-09-08,-0.16548626284880705
2006-09-15,0.09566114836371839
2006-09-22,-0.19380754339454456
2006-09-29,-0.4429150171346645
2006-10-06,-0.1457118075882601
2006-10-13,0.6269023154962011
2006-10-20,0.9160589197587948
2006-10-27,0.8529984845604303
2006-11-03,0.5895226669536402
2006-11-10,1.0066425319197156
2006-11-17,1.3096221469536726
2006-11-24,0.9997335666905026
2006-12-01,0.6409809002784411
2006-12-08,1.1241993787937286
2006-12-15,1.5046937087370076
2006-12-22,1.6722979726281266
2006-12-29,1.702087960427248
2007-01-05,1.4080703492173305
2007-01-12,1.2516248733937965
2007-01-19,1.5389420520529193
2007-01-26,1.6648253973831024
2007-02-02,1.4366702475459192
2007-02-09,1.4368414187170906
2007-02-16,1.5895063255651583
2007-02-23,1.6710751196953368
2007-03-02,1.1286344295816868
2007-03-09,0.7620631255771229
2007-03-16,0.9003855788897006
2007-03-23,1.2232201483708107
2007-03-30,1.406764244125345
2007-04-06,1.4376891760243213
2007-04-13,1.8033271642692426
2007-04-20,2.180374688486375
2007-04-27,2.2378361553602644
2007-05-04,2.0383364870041714
2007-05-11,2.0481951375948495
2007-05-18,2.1174682682522947
2007-05-25,2.194382902460836
2007-06-01,2.170092274979677
2007-06-08,2.0302408644409073
2007-06-15,1.6827015059241814
2007-06-22,1.5599688539937386
2007-06-29,1.1865347547944745
2007-07-06,1.1551300754041482
2007-07-13,1.0387548673372666
2007-07-20,0.913268695990076
2007-07-27,-0.1568440737058847
2007-08-03,-0.7181571934811746
2007-08-10,-0.47983029877272865
2007-08-17,-0.8844506143864701
2007-08-24,-0.8134895540355135
2007-08-31,-0.6525183651714358
2007-09-07,-0.650444659146054
2007-09-14,-0.451144053886692
2007-09-21,0.02548396526341612
2007-09-28,0.33914086772598995
2007-10-05,0.3560206915430142
2007-10-12,0.5647495692343419
2007-10-19,0.4551939167236303
2007-10-26,0.25063020907690836
2007-11-02,0.3545403434079768
2007-11-09,0.22619712693268434
2007-11-16,-0.10242589212104836
2007-11-23,-0.4475325797209443
2007-11-30,-0.3985110595207675
2007-12-07,-0.40157584642276556
2007-12-14,-0.29210767429826423
2007-12-21,-0.3962380870799387
2007-12-28,-0.243705501905073
2008-01-04,-0.339861117473669
2008-01-11,-0.49276139074056513
2008-01-18,-0.5208964382404238
2008-01-25,-0.5935574947785631
2008-02-01,-0.28638914812162375
2008-02-08,-0.35581773420977403
2008-02-15,-0.39147985031597043
2008-02-22,-0.3231545246225298
2008-02-29,-0.07705305121281147
2008-03-07,-0.10108575990619595
2008-03-14,-0.11601666659085486
2008-03-21,-0.15372915697357126
2008-03-28,-0.020716473088042586
2008-04-04,0.007901134441270163
2008-04-11,0.10936386305628931
2008-04-18,0.20487526418490354
2008-04-25,0.28784381068900133
2008-05-02,0.235042363365154
2008-05-09,0.2028433047748287
2008-05-16,0.2228495111637781
2008-05-23,0.3611385069582924
2008-05-30,0.3476641814371074
2008-06-06,0.2452849279384623
2008-06-13,0.2089927531647724
2008-06-20,0.24850639521374107
2008-06-27,0.10378917290695405
2008-07-04,-0.013809152817418124
2008-07-11,-0.09975850939014064
2008-07-18,0.01424973674801655
2008-07-25,0.06673580872879903
2008-08-01,-0.1528729343320226
2008-08-08,-0.4347762023144003
2008-08-15,-0.7849943493313424
2008-08-22,-0.8710541920561892
2008-08-29,-0.9831717178584695
2008-09-05,-1.3741867648468051
2008-09-12,-1.7016305116144141
2008-09-19,-1.9526732413227574
2008-09-26,-1.6218304090938611
2008-10-03,-2.7556205044950284
2008-10-10,-3.938588964221089
2008-10-17,-3.8989171881733533
2008-10-24,-3.8975006112670325
2008-10-31,-3.4653519161815325
2008-11-07,-2.833920152121876
2008-11-14,-2.85786055379007
2008-11-21,-3.015176559256357
2008-11-28,-2.769117125976958
2008-12-05,-2.689085035290982
2008-12-12,-2.389720732658636
2008-12-19,-1.978410941898765
2008-12-26,-1.7682486541421967
2009-01-02,-1.5547050747717301
2009-01-09,-1.3420842429083353
2009-01-16,-1.4589120628127628
2009-01-23,-1.5031476012520304
2009-01-30,-1.3457832911992003
2009-02-06,-1.3226705052215535
2009-02-13,-1.256346971196962
2009-02-20,-1.3762349612363278
2009-02-27,-1.4041045928152225
2009-03-06,-1.537584790871728
2009-03-13,-1.447481176210139
2009-03-20,-1.1270814243154832
2009-03-27,-0.9695174086661431
2009-04-03,-0.937840562423014
2009-04-10,-0.7920176355082487
2009-04-17,-0.642180058551111
2009-04-24,-0.623032359312377
2009-05-01,-0.4586014166313087
2009-05-08,-0.166960121523397
2009-05-15,-0.07712416298194864
2009-05-22,0.06884935786001578
2009-05-29,0.23926427126606145
2009-06-05,0.40434437032490983
2009-06-12,0.4449049169317261
2009-06-19,0.4342798115497041
2009-06-26,0.40800419992632025
2009-07-03,0.5224937489376353
2009-07-10,0.4816922112480368
2009-07-17,0.5981743194215366
2009-07-24,0.8469055055831447
2009-07-31,0.9935618524704976
2009-08-07,1.2104539031802266
2009-08-14,1.1709802012902741
2009-08-21,1.1465399509304346
2009-08-28,1.225611997939866
2009-09-04,1.1793201500693598
2009-09-11,1.4036234545997268
2009-09-18,1.567348793740548
2009-09-25,1.615615071258953
2009-10-02,1.54210716285409
2009-10-09,1.6072974976667789
2009-10-16,1.7023823616577878
2009-10-23,1.644042860122906
2009-10-30,1.458693205073416
2009-11-06,1.3929648888941122
2009-11-13,1.433542779394147
2009-11-20,1.3900386795749762
2009-11-27,1.3567545180420717
2009-12-04,1.354869661086798
2009-12-11,1.2332163825246067
2009-12-18,1.165353757814624
2009-12-25,1.1096070965363654
2010-01-01,1.108301713289623
2010-01-08,1.1801325080232288
2010-01-15,1.2158115138620853
2010-01-22,1.0524123571377464
2010-01-29,0.8971154742455743
2010-02-05,0.7717202597175461
2010-02-12,0.682481091719772
2010-02-19,0.6981227799036204
2010-02-26,0.6714278989736796
2010-03-05,0.73300141126095
2010-03-12,0.8278156399290055
2010-03-19,0.8746710794099305
2010-03-26,0.7719651510625045
2010-04-02,0.8494911818289343
2010-04-09,0.9313532078580402
2010-04-16,1.033759575514658
2010-04-23,0.9613523712638637
2010-04-30,0.8643532717576888
2010-05-07,0.300036524221031
2010-05-14,0.11292320576461296
2010-05-21,-0.5616400954906401
2010-05-28,-0.8244450296413138
2010-06-04,-0.7769316663969992
2010-06-11,-0.9095160892833074
2010-06-18,-0.4280289244218366
2010-06-25,-0.31949164777459804
2010-07-02,-0.5865699552933129
2010-07-09,-0.3599188887279533
2010-07-16,-0.11641314449330442
2010-07-23,-0.08638668687107742
2010-07-30,0.2522095333737912
2010-08-06,0.5358380018784203
2010-08-13,0.1255756686773352
2010-08-20,-0.020262883903402897
2010-08-27,-0.33441331502251775
2010-09-03,-0.2403452091711763
2010-09-10,0.06434144265666586
2010-09-17,0.5448791753770259
2010-09-24,0.7429818707422973
2010-10-01,1.0596952434565017
2010-10-08,1.3871890122078168
2010-10-15,1.6382990545714593
2010-10-22,1.4660539619722686
2010-10-29,1.579557660592961
2010-11-05,1.6261401911796285
2010-11-12,1.6535467143145555
2010-11-19,1.2818678873020593
2010-11-26,0.9917617214949149
2010-12-03,0.8134762174826915
2010-12-10,1.2656979071037384
2010-12-17,1.438205454483344
2010-12-24,1.323001821725713
2010-12-31,1.4962152345147572
2011-01-07,1.6479380669146244
2011-01-14,1.6261260562629676
2011-01-21,1.7884655724199336
2011-01-28,1.7936184418820917
2011-02-04,1.8632432549541198
2011-02-11,1.9460349081829884
2011-02-18,1.8219461139630342
2011-02-25,1.7173891839834057
2011-03-04,1.7219824316561487
2011-03-11,1.6264394573948753
2011-03-18,1.3559316092828682
2011-03-25,1.519108995448978
2011-04-01,1.5362747773115488
2011-04-08,1.666730007812642
2011-04-15,1.6618880551805852
2011-04-22,1.6102862663964863
2011-04-29,1.6502960109995894
2011-05-06,1.545308632472897
2011-05-13,1.3200132986731128
2011-05-20,1.195982874448541
2011-05-27,1.0561905522862955
2011-06-03,1.0722202690860303
2011-06-10,0.9202765244754996
2011-06-17,0.6669355476072027
2011-06-24,0.5373187484811829
2011-07-01,0.6574445254534065
2011-07-08,0.8093628865074022
2011-07-15,0.6003795378468247
2011-07-22,0.7338988312379794
2011-07-29,0.8620373735884008
2011-08-05,0.29884669268479186
2011-08-12,-0.8436453146786845
2011-08-19,-0.6923190335103137
2011-08-26,-0.9009800746027101
2011-09-02,-0.7602899393279935
2011-09-09,-1.121291681481305
2011-09-16,-1.3735507429607856
2011-09-23,-1.857566427613793
2011-09-30,-2.1114527363894497
2011-10-07,-2.4894749497120285
2011-10-14,-1.641438659022465
